No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team,year
38,マテオ,投手,1984/04/18,34歳,3年,188cm,107kg,不明,右右,ドミニカ共和国,"19,000万円",阪神,2018
39,長坂　拳弥,捕手,1994/04/28,24歳,2年,173cm,78kg,B型,右右,群馬,720万円,阪神,2018
40,福永　春吾,投手,1994/05/14,24歳,2年,185cm,93kg,O型,右左,大阪,680万円,阪神,2018
41,髙橋　聡文,投手,1983/05/29,35歳,17年,176cm,89kg,A型,左左,福井,"7,000万円",阪神,2018
42,竹安　大知,投手,1994/09/27,24歳,3年,183cm,83kg,O型,右右,静岡,840万円,阪神,2018
43,守屋　功輝,投手,1993/11/25,24歳,4年,184cm,87kg,A型,右右,岡山,700万円,阪神,2018
44,梅野　隆太郎,捕手,1991/06/17,27歳,5年,173cm,78kg,A型,右右,福岡,"2,500万円",阪神,2018
45,藤谷　洸介,投手,1996/02/12,22歳,2年,194cm,92kg,A型,右右,山口,700万円,阪神,2018
46,秋山　拓巳,投手,1991/04/26,27歳,9年,188cm,95kg,A型,右左,香川,"4,100万円",阪神,2018
47,山本　翔也,投手,1988/10/12,30歳,5年,183cm,93kg,O型,左左,福井,900万円,阪神,2018
48,モレノ,投手,1987/07/21,31歳,1年,185cm,81kg,不明,右右,ベネズエラ,"5,700万円",阪神,2018
49,今成　亮太,内野手,1987/10/06,31歳,13年,178cm,79kg,O型,右左,埼玉,"3,000万円",阪神,2018
50,青柳　晃洋,投手,1993/12/11,24歳,3年,183cm,83kg,B型,右右,神奈川,"1,300万円",阪神,2018
51,伊藤　隼太,外野手,1989/05/08,29歳,7年,177cm,84kg,O型,右左,愛知,"1,800万円",阪神,2018
52,小豆畑　眞也,捕手,1988/07/22,30歳,6年,182cm,79kg,A型,右右,岐阜,650万円,阪神,2018
53,島田　海吏,外野手,1996/02/06,22歳,1年,175cm,72kg,AB型,右左,熊本,800万円,阪神,2018
54,メッセンジャー,投手,1981/08/13,37歳,9年,198cm,121kg,不明,右右,アメリカ,"35,000万円",阪神,2018
55,陽川　尚将,内野手,1991/07/17,27歳,5年,180cm,85kg,O型,右右,大阪,850万円,阪神,2018
56,飯田　優也,投手,1990/11/27,27歳,6年,186cm,86kg,A型,左左,兵庫,"2,000万円",阪神,2018
57,岡﨑　太一,捕手,1983/06/20,35歳,14年,180cm,77kg,O型,右右,奈良,"1,700万円",阪神,2018
58,荒木　郁也,内野手,1988/04/25,30歳,8年,183cm,74kg,B型,右左,東京,"1,000万円",阪神,2018
59,小宮山　慎二,捕手,1985/11/26,32歳,15年,178cm,84kg,A型,右右,神奈川,850万円,阪神,2018
60,中谷　将大,外野手,1993/01/05,25歳,8年,187cm,93kg,A型,右右,福岡,"3,800万円",阪神,2018
61,望月　惇志,投手,1997/08/02,21歳,3年,190cm,89kg,AB型,右右,神奈川,500万円,阪神,2018
62,植田　海,内野手,1996/04/19,22歳,4年,175cm,70kg,O型,右両,滋賀,550万円,阪神,2018
63,板山　祐太郎,外野手,1994/03/27,24歳,3年,180cm,79kg,B型,右左,神奈川,850万円,阪神,2018
64,桑原　謙太朗,投手,1985/10/29,33歳,11年,184cm,85kg,O型,右右,三重,"4,500万円",阪神,2018
65,緒方　凌介,外野手,1990/08/25,28歳,6年,176cm,74kg,O型,右左,大阪,750万円,阪神,2018
66,牧　丈一郎,投手,1999/09/23,19歳,1年,181cm,81kg,A型,右左,京都,480万円,阪神,2018
67,岩崎　優,投手,1991/06/19,27歳,5年,185cm,89kg,B型,左左,静岡,"4,500万円",阪神,2018
68,俊介,外野手,1987/08/17,31歳,9年,178cm,76kg,A型,右右,福岡,"5,000万円",阪神,2018
69,島本　浩也,投手,1993/02/14,25歳,8年,176cm,74kg,B型,左左,奈良,950万円,阪神,2018
92,伊藤　和雄,投手,1989/12/13,28歳,7年,186cm,96kg,A型,右右,埼玉,700万円,阪神,2018
93,西田　直斗,内野手,1993/04/26,25歳,7年,186cm,83kg,O型,右左,大阪,500万円,阪神,2018
94,原口　文仁,捕手,1992/03/03,26歳,9年,182cm,92kg,AB型,右右,埼玉,"2,000万円",阪神,2018
97,歳内　宏明,投手,1993/07/19,25歳,7年,184cm,88kg,B型,右右,兵庫,"1,150万円",阪神,2018
98,ドリス,投手,1988/01/10,30歳,3年,195cm,109kg,不明,右右,ドミニカ共和国,"12,500万円",阪神,2018
99,ナバーロ,内野手,1986/05/14,32歳,1年,183cm,95kg,不明,左左,アメリカ,"3,300万円",阪神,2018
121,石井　将希,投手,1995/07/12,23歳,1年,180cm,82kg,AB型,左左,群馬,300万円,阪神,2018
124,横田　慎太郎,外野手,1995/06/09,23歳,5年,187cm,89kg,O型,左左,鹿児島,870万円,阪神,2018
0,宮本　秀明,内野手,1996/07/24,22歳,1年,178cm,81kg,O型,右左,熊本,750万円,横浜,2018
1,桑原　将志,外野手,1993/07/21,25歳,7年,174cm,78kg,B型,右右,大阪,"8,500万円",横浜,2018
2,ロペス,内野手,1983/11/24,34歳,6年,183cm,103kg,不明,右右,ベネズエラ,"23,000万円",横浜,2018
3,梶谷　隆幸,外野手,1988/08/28,30歳,12年,180cm,85kg,A型,右左,島根,"12,800万円",横浜,2018
4,荒波　翔,外野手,1986/01/25,32歳,8年,179cm,80kg,A型,右左,神奈川,"3,000万円",横浜,2018
5,倉本　寿彦,内野手,1991/01/07,27歳,4年,180cm,82kg,B型,右左,神奈川,"7,300万円",横浜,2018
7,石川　雄洋,内野手,1986/07/10,32歳,14年,183cm,78kg,O型,右左,静岡,"5,500万円",横浜,2018
8,神里　和毅,外野手,1994/01/17,24歳,1年,178cm,81kg,A型,右左,沖縄,"1,250万円",横浜,2018
9,大和,内野手,1987/11/05,31歳,13年,177cm,69kg,A型,右両,鹿児島,"10,000万円",横浜,2018
10,戸柱　恭孝,捕手,1990/04/11,28歳,3年,179cm,87kg,A型,右左,鹿児島,"3,800万円",横浜,2018
11,東　克樹,投手,1995/11/29,22歳,1年,170cm,76kg,B型,左左,三重,"1,500万円",横浜,2018
12,阪口　皓亮,投手,1999/08/15,19歳,1年,186cm,77kg,O型,右左,大阪,600万円,横浜,2018
14,石田　健大,投手,1993/03/01,25歳,4年,180cm,85kg,O型,左左,広島,"6,000万円",横浜,2018
15,井納　翔一,投手,1986/05/01,32歳,6年,188cm,94kg,A型,右右,東京,"8,500万円",横浜,2018
16,加賀　繁,投手,1985/04/13,33歳,9年,182cm,84kg,B型,右右,埼玉,"3,100万円",横浜,2018
17,三嶋　一輝,投手,1990/05/07,28歳,6年,176cm,80kg,A型,右両,福岡,"2,100万円",横浜,2018
19,山﨑　康晃,投手,1992/10/02,26歳,4年,178cm,85kg,O型,右右,東京,"15,000万円",横浜,2018
20,須田　幸太,投手,1986/07/31,32歳,8年,176cm,72kg,AB型,右右,茨城,"3,600万円",横浜,2018
21,今永　昇太,投手,1993/09/01,25歳,3年,177cm,80kg,A型,左左,福岡,"8,400万円",横浜,2018
22,熊原　健人,投手,1993/10/19,25歳,3年,178cm,85kg,O型,右左,宮城,"1,300万円",横浜,2018
23,大河,内野手,1998/04/05,20歳,2年,174cm,75kg,B型,右右,大阪,615万円,横浜,2018
24,齋藤　俊介,投手,1994/01/07,24歳,1年,176cm,83kg,A型,右右,千葉,950万円,横浜,2018
25,筒香　嘉智,外野手,1991/11/26,26歳,9年,185cm,97kg,A型,右左,和歌山,"35,000万円",横浜,2018
26,濵口　遥大,投手,1995/03/16,23歳,2年,173cm,80kg,B型,左左,佐賀,"4,750万円",横浜,2018
28,福地　元春,投手,1990/06/21,28歳,4年,182cm,94kg,O型,左左,沖縄,750万円,横浜,2018
29,伊藤　光,捕手,1989/04/23,29歳,11年,180cm,83kg,B型,右右,愛知,"5,500万円",横浜,2018
30,飯塚　悟史,投手,1996/10/11,22歳,4年,188cm,85kg,A型,右左,新潟,850万円,横浜,2018
31,柴田　竜拓,内野手,1993/12/16,24歳,3年,167cm,68kg,O型,右左,岡山,"2,300万円",横浜,2018
33,乙坂　智,外野手,1994/01/06,24歳,7年,182cm,83kg,O型,右左,神奈川,"2,100万円",横浜,2018
34,平田　真吾,投手,1989/08/29,29歳,5年,182cm,80kg,A型,右右,山口,"1,500万円",横浜,2018
35,三上　朋也,投手,1989/04/10,29歳,5年,190cm,90kg,AB型,右右,岐阜,"8,750万円",横浜,2018
36,狩野　行寿,内野手,1994/07/31,24歳,2年,180cm,80kg,B型,右右,埼玉,700万円,横浜,2018
37,楠本　泰史,外野手,1995/07/07,23歳,1年,180cm,77kg,A型,右左,大阪,700万円,横浜,2018
38,山下　幸輝,内野手,1993/01/31,25歳,4年,173cm,72kg,B型,右左,千葉,"1,140万円",横浜,2018
39,嶺井　博希,捕手,1991/06/04,27歳,5年,175cm,85kg,B型,右右,沖縄,"1,900万円",横浜,2018
40,飛雄馬,内野手,1991/03/17,27歳,7年,181cm,88kg,B型,右右,大阪,750万円,横浜,2018
41,櫻井　周斗,投手,1999/06/25,19歳,1年,178cm,80kg,A型,左左,埼玉,550万円,横浜,2018
42,バリオス,投手,1988/10/11,30歳,7年,185cm,85kg,不明,右右,ベネズエラ,"2,000万円",横浜,2018
43,進藤　拓也,投手,1992/07/16,26歳,2年,186cm,90kg,O型,右右,秋田,850万円,横浜,2018
44,佐野　恵太,内野手,1994/11/28,23歳,2年,178cm,84kg,A型,右左,岡山,700万円,横浜,2018
45,綾部　翔,投手,1997/04/25,21歳,3年,189cm,90kg,O型,右右,茨城,570万円,横浜,2018
46,田中　健二朗,投手,1989/09/18,29歳,11年,179cm,75kg,B型,左左,愛知,"6,100万円",横浜,2018
47,砂田　毅樹,投手,1995/07/20,23歳,5年,179cm,78kg,B型,左左,北海道,"4,200万円",横浜,2018
48,京山　将弥,投手,1998/07/04,20歳,2年,182cm,75kg,B型,右右,滋賀,560万円,横浜,2018
49,赤間　謙,投手,1990/11/14,27歳,3年,180cm,80kg,AB型,右右,福島,"1,150万円",横浜,2018
50,山本　祐大,捕手,1998/09/11,20歳,1年,180cm,78kg,A型,右右,大阪,500万円,横浜,2018
51,宮﨑　敏郎,内野手,1988/12/12,29歳,6年,172cm,85kg,B型,右右,佐賀,"8,000万円",横浜,2018
52,細川　成也,外野手,1998/08/04,20歳,2年,179cm,86kg,AB型,右右,神奈川,540万円,横浜,2018
53,パットン,投手,1988/02/20,30歳,2年,185cm,91kg,不明,右右,アメリカ,"13,000万円",横浜,2018
54,寺田　光輝,投手,1992/01/05,26歳,1年,175cm,73kg,B型,右右,三重,600万円,横浜,2018
55,Ｇ　後藤　武敏,内野手,1980/06/05,38歳,16年,176cm,84kg,A型,右右,静岡,"1,890万円",横浜,2018
56,ウィーランド,投手,1990/01/21,28歳,2年,188cm,93kg,不明,右右,アメリカ,"13,000万円",横浜,2018
57,青柳　昴樹,外野手,1997/05/19,21歳,3年,182cm,84kg,A型,右右,大阪,530万円,横浜,2018
58,武藤　祐太,投手,1989/06/14,29歳,8年,178cm,85kg,O型,右右,埼玉,930万円,横浜,2018
59,平良　拳太郎,投手,1995/07/12,23歳,5年,180cm,76kg,O型,右右,沖縄,750万円,横浜,2018
60,白根　尚貴,外野手,1993/04/28,25歳,7年,186cm,90kg,A型,右右,島根,540万円,横浜,2018
61,中川　大志,内野手,1990/06/08,28歳,10年,186cm,95kg,A型,右右,愛知,960万円,横浜,2018
62,エスコバー,投手,1992/04/22,26歳,2年,188cm,102kg,不明,左左,ベネズエラ,"5,500万円",横浜,2018
63,関根　大気,外野手,1995/06/28,23歳,5年,173cm,75kg,A型,左左,愛知,"1,570万円",横浜,2018
64,百瀬　大騎,内野手,1997/03/11,21歳,4年,175cm,70kg,A型,右左,長野,540万円,横浜,2018
65,国吉　佑樹,投手,1991/09/24,27歳,9年,196cm,103kg,A型,右右,大阪,"1,700万円",横浜,2018
66,西森　将司,捕手,1987/12/29,30歳,7年,182cm,80kg,A型,右両,京都,610万円,横浜,2018
67,田中　浩康,内野手,1982/05/24,36歳,14年,177cm,77kg,O型,右右,京都,"2,200万円",横浜,2018
68,藤岡　好明,投手,1985/03/12,33歳,13年,177cm,81kg,O型,右左,大阪,"1,050万円",横浜,2018
91,中後　悠平,投手,1989/09/17,29歳,5年,183cm,72kg,O型,左左,大阪,500万円,横浜,2018
92,田村　丈,投手,1992/11/20,25歳,3年,185cm,86kg,O型,右右,兵庫,360万円,横浜,2018
94,笠井　崇正,投手,1994/08/07,24歳,2年,179cm,93kg,B型,右右,北海道,360万円,横浜,2018
97,野川　拓斗,投手,1991/09/06,27歳,3年,170cm,78kg,B型,左左,埼玉,700万円,横浜,2018
99,ソト,内野手,1989/02/28,29歳,1年,185cm,97kg,不明,右右,プエルトリコ,"3,500万円",横浜,2018
100,網谷　圭将,内野手,1997/10/03,21歳,3年,184cm,84kg,O型,右右,千葉,360万円,横浜,2018
101,武白志,内野手,1998/02/17,20歳,3年,188cm,95kg,A型,右右,神奈川,360万円,横浜,2018
102,亀井　塔生,捕手,1997/02/19,21歳,4年,180cm,75kg,O型,右右,京都,360万円,横浜,2018
104,中川　虎大,投手,1999/10/02,19歳,1年,178cm,79kg,B型,右右,和歌山,360万円,横浜,2018
106,水野　滉也,投手,1994/06/01,24歳,2年,175cm,74kg,O型,右右,北海道,"1,200万円",横浜,2018
0,吉川　尚輝,内野手,1995/02/08,23歳,2年,177cm,79kg,A型,右左,岐阜,"1,300万円",巨人,2018
0,寺内　崇幸,内野手,1983/05/27,35歳,12年,177cm,73kg,B型,右右,栃木,"3,200万円",巨人,2018
1,比嘉　賢伸,内野手,2000/01/12,18歳,1年,180cm,82kg,A型,右左,大阪,250万円,巨人,2018
2,陽　岱鋼,外野手,1987/01/17,31歳,13年,183cm,89kg,A型,右右,台湾,"30,000万円",巨人,2018
2,加藤　脩平,外野手,1999/03/28,19歳,2年,178cm,79kg,O型,右左,静岡,250万円,巨人,2018
3,山川　和大,投手,1995/01/04,23歳,2年,166cm,74kg,A型,右左,兵庫,250万円,巨人,2018
4,笠井　駿,外野手,1995/04/20,23歳,1年,180cm,80kg,B型,右右,東京,250万円,巨人,2018
5,ゲレーロ,外野手,1986/11/20,31歳,2年,182cm,99kg,不明,右右,キューバ,"40,000万円",巨人,2018
5,広畑　塁,捕手,1995/06/17,23歳,1年,177cm,72kg,O型,右左,福岡,250万円,巨人,2018
6,坂本　工宜,投手,1994/08/19,24歳,2年,180cm,82kg,O型,右右,滋賀,280万円,巨人,2018
6,坂本　勇人,内野手,1988/12/14,29歳,12年,186cm,83kg,AB型,右右,兵庫,"35,000万円",巨人,2018
7,長野　久義,外野手,1984/12/06,33歳,9年,180cm,85kg,O型,右右,佐賀,"19,000万円",巨人,2018
7,小山　翔平,捕手,1996/03/25,22歳,1年,170cm,70kg,O型,右右,京都,250万円,巨人,2018
8,折下　光輝,内野手,2000/02/14,18歳,1年,177cm,86kg,A型,右右,徳島,250万円,巨人,2018
9,亀井　善行,外野手,1982/07/28,36歳,14年,178cm,82kg,AB型,右左,奈良,"5,200万円",巨人,2018
10,阿部　慎之助,内野手,1979/03/20,39歳,18年,180cm,97kg,A型,右左,千葉,"21,000万円",巨人,2018
10,高山　竜太朗,捕手,1995/02/21,23歳,2年,186cm,87kg,A型,右右,鹿児島,280万円,巨人,2018
11,上原　浩治,投手,1975/04/03,43歳,11年,187cm,87kg,B型,右右,大阪,"20,000万円",巨人,2018
11,髙井　俊,投手,1995/08/22,23歳,2年,180cm,83kg,AB型,右右,新潟,240万円,巨人,2018
12,成瀬　功亮,投手,1992/08/19,26歳,8年,182cm,90kg,A型,右右,北海道,310万円,巨人,2018
12,脇谷　亮太,内野手,1981/11/04,37歳,13年,177cm,77kg,A型,右左,大分,"2,000万円",巨人,2018
13,堀岡　隼人,投手,1998/09/11,20歳,2年,183cm,87kg,O型,右右,神奈川,250万円,巨人,2018
13,森福　允彦,投手,1986/07/29,32歳,12年,172cm,70kg,A型,左左,愛知,"12,000万円",巨人,2018
14,松澤　裕介,外野手,1992/07/01,26歳,2年,181cm,87kg,A型,左左,愛知,260万円,巨人,2018
15,巽　大介,投手,1997/04/26,21歳,3年,183cm,86kg,AB型,左左,鳥取,480万円,巨人,2018
15,澤村　拓一,投手,1988/04/03,30歳,8年,184cm,102kg,A型,右右,栃木,"15,000万円",巨人,2018
17,山上　信吾,投手,1999/09/21,19歳,1年,183cm,75kg,不明,右右,群馬,250万円,巨人,2018
17,大竹　寛,投手,1983/05/21,35歳,17年,184cm,94kg,B型,右右,埼玉,"5,250万円",巨人,2018
18,田島　洸成,内野手,1996/07/13,22歳,3年,176cm,80kg,A型,右左,埼玉,260万円,巨人,2018
18,杉内　俊哉,投手,1980/10/30,38歳,17年,175cm,82kg,A型,左左,福岡,"2,500万円",巨人,2018
19,菅野　智之,投手,1989/10/11,29歳,6年,186cm,92kg,A型,右右,神奈川,"45,000万円",巨人,2018
19,田中　優大,投手,1999/09/14,19歳,1年,183cm,75kg,B型,右右,山形,250万円,巨人,2018
20,橋本　篤郎,投手,1998/02/24,20歳,3年,179cm,85kg,B型,左左,熊本,280万円,巨人,2018
20,マシソン,投手,1984/02/27,34歳,7年,191cm,104kg,不明,右右,カナダ,"35,500万円",巨人,2018
21,吉川　光夫,投手,1988/04/06,30歳,12年,178cm,76kg,O型,左左,福岡,"7,000万円",巨人,2018
22,小林　誠司,捕手,1989/06/07,29歳,5年,178cm,83kg,O型,右右,大阪,"5,400万円",巨人,2018
22,荒井　颯太,外野手,1999/09/27,19歳,1年,190cm,98kg,A型,右右,新潟,250万円,巨人,2018
23,野上　亮磨,投手,1987/06/15,31歳,10年,177cm,74kg,A型,右右,福岡,"15,000万円",巨人,2018
24,田中　大輝,投手,1992/08/07,26歳,4年,182cm,80kg,O型,左左,熊本,650万円,巨人,2018
25,岡本　和真,内野手,1996/06/30,22歳,4年,185cm,96kg,A型,右右,奈良,"1,200万円",巨人,2018
26,内海　哲也,投手,1982/04/29,36歳,15年,186cm,95kg,A型,左左,京都,"10,000万円",巨人,2018
27,宇佐見　真吾,捕手,1993/06/04,25歳,3年,181cm,87kg,O型,右左,千葉,"1,700万円",巨人,2018
28,畠　世周,投手,1994/05/31,24歳,2年,186cm,78kg,AB型,右左,広島,"2,400万円",巨人,2018
29,鍬原　拓也,投手,1996/03/26,22歳,1年,177cm,76kg,A型,右右,奈良,"1,500万円",巨人,2018
30,宮國　椋丞,投手,1992/04/17,26歳,8年,186cm,84kg,B型,右右,沖縄,"2,400万円",巨人,2018
32,橋本　到,外野手,1990/04/28,28歳,10年,172cm,78kg,O型,右左,宮城,"2,900万円",巨人,2018
33,マギー,内野手,1982/10/12,36歳,3年,185cm,100kg,不明,右右,アメリカ,"26,600万円",巨人,2018
35,西村　健太朗,投手,1985/05/10,33歳,15年,184cm,94kg,A型,右右,広島,"8,600万円",巨人,2018
36,桜井　俊貴,投手,1993/10/21,25歳,3年,181cm,86kg,AB型,右右,兵庫,"1,200万円",巨人,2018
37,田原　誠次,投手,1989/09/02,29歳,7年,180cm,80kg,A型,右左,宮崎,"3,600万円",巨人,2018
38,岸田　行倫,捕手,1996/10/10,22歳,1年,176cm,80kg,A型,右右,兵庫,"1,200万円",巨人,2018
39,ヤングマン,投手,1989/12/18,28歳,1年,198cm,95kg,不明,右右,アメリカ,"8,300万円",巨人,2018
40,谷岡　竜平,投手,1996/03/21,22歳,2年,181cm,85kg,A型,右右,東京,840万円,巨人,2018
41,中川　皓太,投手,1994/02/24,24歳,3年,183cm,86kg,A型,左左,大阪,"1,560万円",巨人,2018
42,山口　俊,投手,1987/07/11,31歳,13年,187cm,97kg,O型,右右,大分,"23,000万円",巨人,2018
43,重信　慎之介,外野手,1993/04/17,25歳,3年,173cm,70kg,A型,右左,千葉,"2,400万円",巨人,2018
44,カミネロ,投手,1987/06/16,31歳,2年,193cm,111kg,不明,右右,ドミニカ共和国,"22,200万円",巨人,2018
45,今村　信貴,投手,1994/03/15,24歳,7年,180cm,85kg,AB型,左左,大阪,"1,300万円",巨人,2018
46,大城　卓三,捕手,1993/02/11,25歳,1年,187cm,89kg,B型,右左,沖縄,"1,000万円",巨人,2018
47,山口　鉄也,投手,1983/11/11,35歳,13年,184cm,88kg,A型,左左,神奈川,"22,400万円",巨人,2018
48,池田　駿,投手,1992/11/29,25歳,2年,174cm,71kg,A型,左左,新潟,"2,000万円",巨人,2018
49,石川　慎吾,外野手,1993/04/27,25歳,7年,178cm,77kg,O型,右右,大阪,"2,500万円",巨人,2018
50,戸根　千明,投手,1992/10/17,26歳,4年,174cm,97kg,A型,左左,京都,"2,000万円",巨人,2018
52,北村　拓己,内野手,1995/08/29,23歳,1年,181cm,85kg,A型,右右,石川,800万円,巨人,2018
53,髙田　萌生,投手,1998/07/04,20歳,2年,178cm,75kg,A型,右右,岡山,520万円,巨人,2018
56,山本　泰寛,内野手,1993/10/10,25歳,3年,176cm,76kg,B型,右右,東京,"1,800万円",巨人,2018
57,高木　京介,投手,1989/09/05,29歳,7年,183cm,86kg,AB型,左左,石川,410万円,巨人,2018
58,立岡　宗一郎,外野手,1990/05/18,28歳,10年,181cm,82kg,A型,右左,熊本,"2,900万円",巨人,2018
59,松原　聖弥,外野手,1995/01/26,23歳,2年,173cm,72kg,O型,右左,大阪,290万円,巨人,2018
59,柿澤　貴裕,外野手,1994/07/30,24歳,6年,180cm,86kg,A型,右左,鹿児島,650万円,巨人,2018
60,若林　晃弘,内野手,1993/08/26,25歳,1年,180cm,77kg,A型,右両,東京,800万円,巨人,2018
61,中井　大介,内野手,1989/11/27,28歳,11年,183cm,88kg,B型,右右,三重,"2,400万円",巨人,2018
62,篠原　慎平,投手,1990/06/13,28歳,4年,186cm,95kg,A型,右左,愛媛,"1,440万円",巨人,2018
63,田中　俊太,内野手,1993/08/18,25歳,1年,178cm,80kg,O型,右左,神奈川,800万円,巨人,2018
64,大江　竜聖,投手,1999/01/15,19歳,2年,173cm,80kg,A型,左左,神奈川,500万円,巨人,2018
65,辻　東倫,内野手,1994/08/11,24歳,6年,181cm,83kg,B型,右左,三重,960万円,巨人,2018
